,name,thematic_area_id,thematic_area,requirements,work_methods,requirements_1,requirements_2,requirements_3,requirements_4
518,"¿Cómo podríamos transformar el proceso de inducción, haciéndolo más agradable para el nuevo trabajador?",9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
522,Analista De Abastecimiento.,11,market,servicio,in_house,materiales,trabajo,planes,datos
523,Analista de contratos jurídicos bilingüe,5,legal,riesgos,in_house,liderazgo,experiencia,habilidades,datos
524,Prácticas Profesionales,11,market,talento,"[""a""]",aprendizaje,recursos,recursos humanos,power
525,Client Success,6,tech,experiencia,"[""a""]",desarrollo,estrategias,habilidades,mercado
526,Coordinador(a) Crm,11,market,experiencia,in_house,equipo,mercado,publicidad,analizar
527,JEFE ESTRATEGIA Y MOVILIZACION DE EXPERIENCIA,8,design,proyectos,in_house,en equipo,manejo,estrategias,estrategia
528,Mi talento compartido con los demas,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
532,Líder de Transformación de datos SAP,6,tech,experiencia,in_house,software,trabajo,desarrollo,equipo
534,Analista de Marketing,7,communications,planes,in_house,experiencia,habilidades,marketing,talento
535,Urgente 90 operarios logísticos con y sin experiencia laboral (Cúcuta) evento por 15 días con posibilidad de cupo fijo,13,product,empresa,"[""a""]",transporte,comercial,servicios,trabajo
536,disenador/a grafica,8,design,photoshop,in_house,trabajo,conocimiento,experiencia,indicadores de gestion
537,Estudiante - Contact Center,5,legal,presencial,in_house,desarrollo,trabajo,internet,trabajo individual
539,Asistente de Gestion Humana  para multinacional  en Siberia.,9,talent,manejo,in_house,bases,experiencia,seguridad,afiliaciones
541,Operario de producción - Sector de alimentos,13,product,empresa,"[""a""]",transporte,experiencia,alimentos,entrenamiento
542,Gestor de Cobros - Colombia,16,finance,no,virtual,riesgos,estrategias,experiencia,abogado
543,Auxiliar administrativo/a para Rionegro 1626053309.41,16,finance,web,in_house,calidad,caja,servicios,experiencia
545,"Líder, administrador punto de venta - Palmira Facol",17,consumer,estrategias,"[""a""]",equipo,relaciones,administrador,trabajo
546,TESORERO - DISPONIBILIDAD DE VIAJAR-CALI-50718,16,finance,financiero,in_house,manejo,responsabilidad,coordinar,servicio
547,Diseñador Editorial Jr,7,communications,coaching,in_house,digital,profesional,cultura,mercado
549,Analista servicios adminitrativos - Bogota,17,consumer,aprendizaje,in_house,empresa,desarrollo,soporte,manejo
550,ANALISTA DE INGENIERIA,8,design,planes,virtual,produccion,bases de datos,ingenieria,procesos
551,¿Cómo podríamos identificar nuevos proveedores que suplan las necesidades en los proyectos de nuestra organización?,3,suppliers,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
552,Asesor de Servicio al cliente- Contact Center,17,consumer,experiencia,"[""a""]",herramientas,calidad,transporte,universidad
553,Líder de Talento Humano - Bogotá,13,product,planes,virtual,servicios,bienestar,coordinar,capacidad
554,Desarrollador de software JP| RUTA N,6,tech,desarrollador de software jp,to_be_agreed,teams,relaciones,creatividad,auxiliar administrativo
555,¿Cómo crear una solución para llevar control y predecir los gastos del cliente de manera que este pueda mantenerse al tanto de sus movimientos y tener unas finanzas personales más sanas?,16,finance,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
556,¿Cómo dar a conocer y formar a los profesionales de la Subgerencia de Ejecución de Proyectos en la plataforma BIM 360 logrando su uso y apropiación en la ejecución de las obras?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
557,Content Manager D2F,6,tech,experiencia,in_house,habilidades,redes,relaciones,manejo
558,DESARROLLADOR DE VENTAS JUNIOR,11,market,microsoft office,in_house,comunicación,proactividad,google,g-suite
559,Operarios de producción / Lácteos - Zipaquirá,13,product,recursos,in_house,empresa,servicios,experiencia,recursos humanos
560,¿Cómo podríamos hacer que nuestros productos (virtuales/físicos) comuniquen información de interés a nuestros usuarios?,13,product,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
561,¿Cómo podríamos mejorar la satisfacción de nuestros empleados para disminuir la deserción en la organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
563,¿Cómo podríamos crear un sistema de puntos para los servicios de la organización?,12,incomes,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
567,Auxiliar Recibo - Conteo Surtimayorista,13,product,desarrollo,in_house,equipo,cadena de suministro,cadena,operaciones
568,impulso/mercaimpulso con o sin experiencia temporada fin de año/aplican estudiantes universitarios - Cartagena urgente,5,legal,experiencia,in_house,transporte,talento,comercial,internet
569,Auxiliar Modelo de Productividad(Antioquia),8,design,profesional,"[""a""]",desarrollar,procesos,experiencia,bienestar
570,Ineniero Alimentos,7,communications,alimentos,in_house,empresa,manejo,modelos,idiomas
571,graphic designer,8,design,capacidad,virtual,software,ventas,desarrollar,mercado
572,Analista de nomina /Bogotá - Disponibilidad Inmediata,16,finance,empresa,in_house,recursos,nomina,experiencia,informes
573,Auxiliar logistico - Bogota,13,product,trabajo,in_house,transporte,experiencia,empresa,recursos humanos
575,Operarios de Producccion - Chía sectores aledaños Urgente,13,product,servicios,in_house,experiencia,empresa,industrial, micro fronted
576,¡Cajeros!,17,consumer,empresa,"[""a""]",recursos,experiencia,recursos humanos,servicio
583,"¿Cómo podríamos identificar la información de mayor importancia para el cliente, en cuanto a un producto/servicio?",17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
584,¿Cómo podríamos calcular los indicadores de productividad para mejorarlos mediante la visualización de estos?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
585,"Analista financiero, crédito bilingue idioma ingles alto - modalidad de empleo teletrabajo",16,finance,sistemas,in_house,financiera,recursos humanos,empresa,experiencia
587,Tecnico o Tecnólogo en sistemas,7,communications,office,in_house,redes,micro,mejoramiento continuo,soporte
588,Auxiliar administrativo/a - Girardota,16,finance,manejo,in_house,empresa,publicidad,habilidades,experiencia
589,Especialista Comercial Línea Laboratorio e industrial,19,sales,empresa,"[""a""]",servicios,persona,salud,manejo
592,Auxiliar Operativo - 1 año de experiencia,17,consumer,transporte,in_house,empresa,recursos,experiencia,recursos humanos
593,Auxiliar servicio Bogota,17,consumer,alimentos,in_house,experiencia,persona,ideal,servicio
594,Auxiliar de parque de diversiones / servicio al cliente / sin experiencia aplica personal primer empleo,17,consumer,alimentos,"[""a""]",servicio,experiencia,servicio al cliente,cocina
595,"¿Cómo realizar un contrato macro con los proveedores, sin establecer un monto  mínimo de compras, pero  con compromiso de tiempo de entrega establecidos?",3,suppliers,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
596,Operario/a de empaque Tablaza Sin experiencia - Condiciones de Frío,13,product,empresa,in_house,equipo,servicios,experiencia,alimentos
599,Coordinador/a Comercial,19,sales,mantenimiento,in_house,experiencia,servicios,empresa,profesional
600,Supervisor de limpieza - Medellin,7,communications,lider,in_house,servicios,procesos,excell,manejo
601,"Realizar los requerimientos de material de acuerdo con los pronósticos y la clasificación ABC, reduciendo la cantidad de inventario y mejorando su rotación sin desmejorar el servicio.",18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
602,¿Cómo podríamos captar los datos de una máquina para mejorar su rendimiento?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
603,Gran Oportunidad! Asesores Back Office con 6 meses de experiencia,17,consumer,servicios,in_house,experiencia,equipo,paquete,jenkins
604,Analista comercial - Ingles B2,16,finance,comercial,in_house,servicio,experiencia,persona,habilidades
605,Recepcionista Cajero para trabajar en el barrio Toberin,7,communications,trabajo,in_house,experiencia,recepcionista,talento,persona
606,¿Cómo podríamos hacer que nuestros productos (virtuales/físicos) comuniquen información de interés a nuestros usuarios?,13,product,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
607,Coordinador De Mejoramiento Continuo,13,product,equipo,"[""a""]",compromiso,herramientas,servicios,scrum.
608,Auxiliar de Seguridad y Salud en el Trabajo,5,legal,procesos,in_house,recursos humanos,trabajo,relaciones,recursos
609,DESARROLLADOR JAVA,6,tech,scrum,to_be_agreed,devops,big data,linux,java
610,¿Cómo podríamos crear conciencia mediante un nuevo sistema de responsabilidad social empresarial (RSE) que genere un impacto positivo?,1,rse,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
611,Gerente General - Sector PALMA,13,product,servicios,in_house,presupuestos,experiencia,capacidad,estrategia
612,¿Cómo podríamos crear soluciones digitales para generar nuevos productos y servicios apalancando la MEGA con la renovación y generación de nuevos ingresos en Cementos Argos?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
613,Atención al cliente asistencias para carros -Formación 7 días - contrato 48 horas,17,consumer,experiencia,in_house,seguros,mysql,webservice,comercio
614,PROJECT MANAGER,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
615,Lider de Recursos Humanos Logísticos - Novaventa,9,talent,cultura,in_house,soporte,coordinar,experiencia,recursos
616,Ejecutivo Comercial Experiencia en Empresas Temporales,19,sales,no,in_house,capacidad,equipo,comercial,servicios
617,Embajador de Servicio al cliente,17,consumer,entrenamiento,virtual,servicio al cliente,recursos,experiencia,no
618,Coordinador creativo y comunicación digital,7,communications,experiencia,"[""a""]",digital,estrategias,manejo,servicios
619,Operaria de muestra o prototipo - Guayabal,8,design,diseño,in_house,empresa,transporte,experiencia,manejo
621,"Líder, supervisor comercial",19,sales,experiencia,in_house,manejo,ventas,comercial,informes
622,¿Cómo podríamos crear un modelo de venta directa que para los clientes de la organización?,19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
623,Oficina Internacional: internacionalización de la salud,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
624,Coordinadora Gestión Humana - Claro medellín,13,product,redes,in_house,proyecto,desarrollo,proyectos,planes
625,Auxiliar Administrativa,17,consumer,talento humano,in_house,seguridad,redes,manejo,experiencia
626,Desarrollador/a DevOps Automatización,6,tech,en equipo,in_house,desarrollo,trabajo,cultura,proyectos
628,Ingeniero de desarrollo 2,6,tech,desarrollo,in_house,negocios,sistemas,programacion,diseño
629,GESTOR DE QUEJAS Y RECLAMOS,17,consumer,manejo,virtual,salud,servicio,normatividad,equipo
630,Analista de contratos jurídicos bilingüe,5,legal,riesgos,in_house,liderazgo,experiencia,habilidades,datos
631,Asistente Administrativo 1/2 tiempo Aeropuerto Carepa,17,consumer,procesos,in_house,experiencia,caja,procesos administrativos,servicio
632,¿Cómo podríamos crear un modelo de venta directa que para los clientes de la organización?,19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
633,¿Cómo podríamos usar la Impresión 3D para diseñar nuevos productos que se acoplen a las necesidades de la organización/los usuarios?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
634,DESARROLLADOR JUNIOR,6,tech,.net,virtual,javascript,sql server,título,caja
636,¿Cómo podríamos posicionar un nuevo producto en el mercado y el target al cual queremos llegar?,7,communications,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
637,Asistente de recursos humanos semibilingüe,9,talent,procesos,in_house,finanzas,recursos humanos,entrenamiento,universidad
638,Mercaderistas Cajicá,5,legal,empresa,"[""a""]",habilidades,transporte,experiencia,mercadeo
641,Coordinador de desarrollo de Software,6,tech,fullstack,mixed,iso8583,oracle,webservice,líder de  desarrollo
642,TINTAL LIDER DE SEGURIDAD Y SALUD EN EL TRABAJO,13,product,experiencia,in_house,control,indicadores,mejora,cultura
643,Asistente de recursos humanos bilingüe- Inglés B2,9,talent,datos,in_house,seguridad,recursos,reclutamiento,herramientas
645,Asesor de servicio al cliente (Horario lunes a sábado + variable),17,consumer,experiencia,"[""a""]",caja,servicio,transporte,servicio al cliente
646,Profesional Centro San Francisco Javier,8,design,ciencias,"[""a""]",liderazgo,procesos,social,experiencia
647,Gerente de Desarrollo de Aplicaciones,13,product,telecomunicaciones,"[""a""]",mantenimiento,gerencia de proyectos,empresa,digital
649,Administrador,5,legal,trabajo,in_house,empresa,manejo,ventas,equipo
650,Analista seguridad TI (monitoreo),13,product,mejora,in_house,servicios,eventos,gerencia,analizar
651,¿Cómo podríamos obtener la información estratégica de nuestros usuarios para apoyar la toma de decisiones?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
652,Contador publico con experiencia en World ffice,16,finance,manejo,virtual,industrial,operaciones,herramientas,sistema
653,146373-ANALISTA DE AUTOMATIZACION Y MEJORAMIENTO DE PROCESOS,6,tech,estrategia,virtual,compromiso,sistemas,procesos,desarrollar
654,JOVENES PROFESIONALES | INDRA,6,tech,soporte puesto usuar,in_house,ofimatica,movilidad,seguridad,microsoft windows (b
655,Ingeniero/a DevOps,6,tech,devops,virtual,jenkins,docker,aws,azure
656,asesor servico al cliente call center contratacion inmediata,17,consumer,contratacion,"[""a""]",servicio,empresa,auxiliar administrativo,talento
657,¿Cómo crear una solución tecnológica que facilite la gestión de la información de clientes y productos de manera que todos en la compañía puedan usarla?,3,suppliers,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
658,Diseñador auxiliar,8,design,auxiliar,virtual,solidworks,empresa,paquete,entrenamiento
659,ASESOR COMERCIAL JUNIOR VIAJERO BOGOTA,19,sales,empresa,"[""a""]",comercial,comunicacion,seguridad,conocimiento
660,"Auxiliar de Bodega, Almacén Logística (Picking) Norte de Bogotá",13,product,desarrollo,in_house,experiencia,excel,bienestar,bienestar
661,"Auxiliar Bases de Datos - Experiencia muy enfocada en manejo de Excel avanzado, power pivot y hacer query - programación de datos lugar de trabajo Bogotá",13,product,publicidad,in_house,sistemas,desarrollo,power,experiencia
663,¿Cómo podríamos garantizar la seguridad de un empleado en procesos con algún riesgo?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
664,¿Cómo podríamos reinventar el sistema de indicadores de personal para que fuera más certero y amable con el empleado?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
665,Regional Finance Senior Analyst,16,finance,responsabilidad,in_house,workplace,software,teams,financiera
666,¿Cómo podríamos dar bienestar a nuestros empleados por medio de la creación de planes de formación?,10,education,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
668,Analista Marketing Digital,6,tech,estrategias,in_house,marketing,habilidades,presencial,redes
669,Vicerrectora,8,design,trabajo,in_house,persona,experiencia,capacidad,liderazgo
670,Auxiliar pedagógico - Jardines Bogotá,13,product,desarrollo,in_house,habilidades,experiencia,mercado,paquete
672,Profesional II - Gestión Hospitalaria - 9221376,8,design,empresa,in_house,conocimiento,equipo,normatividad,procesos
673,Ayudante de producción Sector industrial,13,product,recursos,in_house,empresa,procesos,equipo,trabajo
674,¿Cómo podríamos certificar la transparencia del proceso de cálculo de la tarifa de energía  basados en la implementación de soluciones blockchain?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
675,Ingeniero Proyectista Facatativá,8,design,responsabilidad,in_house,lectura,desarrollo,herramientas,proyectos
676,Ejecutivo de cuentas estatales,7,communications,paquete,in_house,desarrollo,no,informes,estrategias
677,profesionales con experiencia auditando operaciones de servicio al cliente a travez de canales digitales,17,consumer,operaciones,in_house,servicio,experiencia,equipo,servicio al cliente
678,Urgente Agente call center con o sin experiencia respuesta inmediata,5,legal,recursos humanos,virtual,trabajo,recursos,experiencia,equipo
679,Operarios de Almacenamiento - Armenia,13,product,comercial,in_house,servicios,trabajo,talento,idiomas
680,Asesor comercial Bodytech,19,sales,recursos,in_house,presencial,comercial,experiencia,ventas
683,Auxiliar administrativo,16,finance,virtual,in_house,servicios,experiencia,administrativo,plataformas
684,¿Como podríamos ayudar a los emprendedores y dueños de negocios informales a formalizar sus negocios y permanecer en la legalidad mediante estrategias o soluciones tecnológicas?,5,legal,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
685,Arquitecto - Arquitecto disenador junior,8,design,trabajo,in_house,experiencia,empresa,equipo,proyectos
686,Administrador(a) de Bots,6,tech,rpa/chatbots,mixed,excel/macros,visualbasic.,java,python
688,Cajero(a) temporada precios especiales-medellin,17,consumer,servicio,in_house,experiencia,analista,comercio,entrenamiento
690,Analista De Gestión Y Control - Bogotá DC,13,product,proyectos,in_house,bases de datos,desarrollo,manejo,manejo de personal
691,CHEF COMERCIAL - Bogotá,19,sales,empresa,"[""a""]",alimentos,equipo,comercial,trabajo
694,Gestor Servicio al Cliente - Recepción,17,consumer,experiencia,"[""a""]",jenkins, no funcionales,auxiliar,datos
695,¿Cómo podríamos disminuir de alguna forma el impacto ambiental en nuestra producción ?,1,rse,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
696,Gestora de Campo ( Enfermera) Popayan Excluyente,5,legal,procesos,in_house,control,entrenamiento,relaciones,social
697,Desarrollador software JP| RUTA N,6,tech,desarrollador software jp,to_be_agreed,teams,relaciones,creatividad,auxiliar administrativo
698,Ejecutiva Comercial,7,communications,comercial,"[""a""]",coaching,profesional,empresarial,capacidad
699,Asesores comerciales,17,consumer,servicio,in_house,experiencia,analista,comercio,entrenamiento
701,Asistente administrativa- En taller,16,finance,experiencia,"[""a""]",manejo,ideal,conocimiento,control
702,Líder en Sistemas HSEQ,13,product,sistema,in_house,experiencia,proyectos,mantenimiento,salud
703,Analista de mesa de ayuda-Soporte técnico Bilingüe,6,tech,experiencia,"[""a""]",proyectos,herramientas,cadena,digital
704,Operarios Logístico / Operario de Bodega / Ayudante logístico Cupos Fijos,13,product,empresa,in_house,transporte,bienestar,servicios,experiencia
705,Operador SOC,6,tech,manejo siem,in_house,jenkins,rest,compromiso,ninguna
706,¿Cómo podríamos cautivar a nuestros clientes para comprar saldos de inventario?,19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
707,Especialista Opex y Capex,16,finance,responsabilidad,in_house,social,industrial,empresa,cultura
708,Auxiliar de operaciones - Sector financiero (Bogotá),11,market,finanzas,"[""a""]",paquete office,financiero,servicios,financiera
709,Analista de preventa,13,product,ventas,in_house,entrenamiento,herramientas,mercado,procesos
712,¿Cómo podríamos diseñar un sistema de mentores internos para la organización?,10,education,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
713,Docente Diseño grafico,8,design,publicidad,in_house,profesional,equipo,redes,desarrollo
714,Asesores Externos Agropecuarios - La Dorada,6,tech,experiencia,in_house,trabajo,equipo,virtual,ventas
715,Desarrollador .NET,6,tech,webforms,mixed,.net,c#,.net core,java
717,Demand Management Analyst,16,finance,liderazgo,in_house,sistema,work,planes,experiencia
718,"¿Cómo podríamos mejorar el sistema de respuesta de peticiones, quejas y reclamos (PQR) para que el cliente tenga una mejor experiencia?",17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
719,¿Cómo podríamos iniciar mercados internacionales que respondan positivamente con los servicios/productos actuales?,14,channels,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
720,Líder de servicio al cliente,17,consumer,trabajo,in_house,recursos,servicio al cliente,experiencia,recursos humanos
721,Analista Especializado de Seguridad Informática,6,tech,infraestructura,"[""a""]",seguridad,sistemas,no,equipo
722,¿Cómo podríamos solucionar la falta de control que existe una cafetería?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
723,Como potenciar implementaciones de realidad virtual y aumentada en escenarios web y multijugador.,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
725,Director de marketing,7,communications,trabajo,in_house,comercio,experiencia,mercadeo,marketing
727,Asesor Comercial Ventas Call Center (Hibrido),6,tech,cadena de suministro,in_house,transporte,experiencia,cadena,equipo
728,Operarias logísticas único turno Sur de la ciudad,6,tech,trabajo,in_house,empresa,servicios,equipo,no
731,"operarios de produccion convocatoria jueves 09 de marzo 2023 - Vivir en chía, Zipaquira o zonas aledañas",13,product,recursos,"[""a""]",empresa,servicio,produccion,experiencia
732,"Aprendiz Universitario en Ingeniería de Diseño de Producto, Diseño Gráfico, Carreras Afines (35842)",8,design,estrategia,"[""a""]",aprendizaje,desarrollo,trabajo,indicadores
733,Psicólogos con experiencia en Entrevistas - Manizalez,9,talent,procesos,in_house,experiencia,oracle,empresarial,redes
734,Ingeniero de Desarrollo,13,product,trabajo,"[""a""]",experiencia,ingeniera,software,desarrollo
735,Operarios de producción / Zipaquirá,13,product,recursos,"[""a""]",empresa,procesos,servicios,experiencia
737,Como mejorar ante los constantes desafíos y cambios en la tecnología,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
738,Ejecutivo comercial proyectos de vivienda,19,sales,transporte,in_house,equipo,comercial,experiencia,ventas
739,Psicólogo de Selección Organizacional,5,legal,procesos,"[""a""]",relaciones,experiencia,persona,reclutamiento
740,Analista de la información,13,product,proyectos,in_house,profesional,conocimiento,desarrollo,bases de datos
741,Líder de validación documental,9,talent,procesos,in_house,control,recursos humanos,recursos,seguridad
742,Mercaderista medio tiempo-Armenia,13,product,talento,in_house,aprendizaje,empresa,comercial,desarrollo
744,Mercaimpulsadora norte de la ciudad,7,communications,experiencia,"[""a""]",mercadeo,talento,programación,comercio
745,¿Cómo podríamos disminuir los ausentismos en  nuestra organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
746,Como los puedo ayudar,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
748,¿Cómo podríamos facilitar la toma de decisiones en nuestra organización teniendo en cuenta la información generada por los usuarios en redes sociales?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
749,Ingeniero de Desarrollo,6,tech,software,in_house,aplicaciones,metodología agil,excel avanzado,redes
750,¿Cómo podríamos incrementar la satisfacción de los clientes para disminuir el número de devoluciones de nuestros productos?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
751,Desarrollador | DCA Technology,6,tech,desarrollador,to_be_agreed,paquete,financiero,power bi,docente
752,ESPECIALISTA DESARROLLO HUMANO ORGANIZACIONAL REGIONAL 224317-,9,talent,liderazgo,in_house,gerencia,desarrollo,bienestar,procesos
753,¿Cómo podríamos mejorar la experiencia y la atención al usuario con la ayuda de BOTS?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
754,Cloud Engineer,6,tech,ingles,virtual,idiomas,soporte,capacidad,consulta
755,Agente call center servicio al cliente,17,consumer,experiencia,"[""a""]",recursos humanos,servicio,servicio al cliente,recursos
756,"¿Comó generar un impacto positivo en la comunidad del centro poblado Los Naranjales del municipio de Apartadó Antioquia, a nivel social y territorial?",1,rse,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
758,Supervisor/a o lider de producción,13,product,transporte,"[""a""]",conocimiento,profesional,manejo,indicadores
760,DESARROLLADOR DE BACK-END MÓVIL,6,tech,java,mixed,api,rest,graphql,agile-scrum
761,Socio(a) Estratégico(a) de Valor Humano (HRBP),7,communications,cinco,in_house,redes,social,responsabilidad,capacidad
762,"¿Cómo podríamos transformar el proceso de inducción, haciéndolo más agradable para el nuevo trabajador?",9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
763,"operarios de produccion convocatoria jueves 26 de enero 2023 - Vivir en chía, Zipaquira o zonas aledañas",13,product,recursos,"[""a""]",empresa,servicio,produccion,experiencia
764,Asesor Servicio al Cliente Presencial,17,consumer,internet,in_house,empresa,video,conocimiento,soporte
765,Cajero,17,consumer,servicio,in_house,experiencia,tratamiento,.,persona
766,Líder Comercial Antioquia - Importante Empresa Del Sector,19,sales,responsabilidad,virtual,empresa,alimentos,control,reclutamiento
768,Gerente comercial,19,sales,experiencia,"[""a""]",equipo,recursos,manejo de personal,trabajo
769,Operario de maquina,13,product,experiencia,"[""a""]",idiomas,soporte,capacidad,consulta
770,Aprendiz de Procesos y Validaciones,6,tech,control,in_house,proyecto,proyectos,seguridad,normatividad
771,cual es el primer paso para una entrevista,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
772,pasantes administrativos recursos humanos servicio al cliente a call center y carreras a fines,9,talent,experiencia,in_house,servicio,servicios,recursos humanos,servicio al cliente
773,Ejecutivo Comercial B2B/ Bogota,19,sales,recursos,in_house,empresa,equipo,trabajo,recursos humanos
774,Chat Customer Service Agent,17,consumer,experiencia,in_house,servicio,servicio al cliente,habilidades,no
775,"Operario de producción - norte de Medellín (Bello, Copacabana, Girardota, Barbosa)",13,product,servicios,in_house,experiencia,empresa,paquete,jenkins
776,Bilingual .NET developer,6,tech,software development,mixed,inglés avanzado-int,.net,c#,react.js
779,Auxiliar administrativo/a con experiencia en recaudo-La Dorada,16,finance,servicio,in_house,herramientas,servicio al cliente,excel avanzado,auxiliar
781,Soporte Técnico en Sitio,6,tech,soporte en sitio,in_house,soporte tecnico,soporte remoto,power,caja
782,Administrador de Sede Funeraria Jardin - Antioquia,17,consumer,procesos,in_house,trabajo,manejo,excel,habilidades
783,¿Cómo podríamos identificar nuevos proveedores que suplan las necesidades en los proyectos de nuestra organización?,3,suppliers,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
785,Encargado de tienda - Barranquilla,8,design,profesional,in_house,talento,cultura,coordinar,control
786,Agente call center / Sac para Bodytech,17,consumer,no,in_house,servicio,ventas,experiencia,scrum.
787,¿Cómo podríamos reutilizar uno de los materiales usados en la organización para disminuir el impacto ambiental?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
789,"¿Cómo podríamos disminuir el uso de papel en nuestros servicios, sin necesidad de disminuir la experiencia del usuario?",15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
790,PSICOLOGA SELECCION JUNIOR,5,legal,trabajo,in_house,reclutamiento,manejo,equipo,postgresql
791,ASESOR CALL CENTER GAMMA,17,consumer,procesos,in_house,comercial,habilidades,seguridad,desarrollar
792,"Auxiliar de almacén, aux logístico Día sin iva- con o sin experiencia, Zona norte",13,product,servicios,in_house,experiencia,transporte,excel,mysql
795,Asistente Legal,5,legal,seguros,in_house,idiomas,mantenimiento,experiencia,power
796,Coordinador de Comunicación y Sostenibilidad -Bogotá,5,legal,recursos humanos,in_house,recursos,experiencia,herramientas,equipo
797,Director Grupo -  Jardines Bogotá,13,product,profesional,"[""a""]",desarrollo,experiencia,trabajo,entrenamiento
798,¿Cómo podríamos crear un modelo de desarrollo de habilidades blandas en los empleados?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
799,Analista HSE,5,legal,sistemas,"[""a""]",riesgos,ambiental,recursos humanos,trabajo
801,Especialista en reclutamiento y selección con Ingles intermedio o avanzado,9,talent,equipo,in_house,entrevistas,talento humano,talento,trabajo
804,Diseñador textil Jr - Ropa Deportiva y Playa,8,design,profesional,in_house,presencial,industrial,ideal,control
806,Asistente de Diseño,8,design,comercial,in_house,redes,experiencia,redes,power
807,Ingeniero Desarrollador DevOps,6,tech,devops,in_house,reclutamiento,video,administrativo,universidad
809,Aprendiz de Gestión Humana - Santa Marta,9,talent,auxiliar,"[""a""]",habilidades,contabilidad,equipo,conocimiento
813,¿Cómo crear un nuevo modelo de ingresos para generar valor de formas alternas?,12,incomes,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
814,Asistente administrativo supernumerario sector salud- Bogotá,16,finance,manejo,in_house,experiencia,equipo,paquete,administrativo
815,¿Cómo podríamos llegar con mayor facilidad a nuestros clientes por medio de experiencias sensoriales en puntos de venta?,19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
817,Analista de Crédito y cobranza,16,finance,conocimiento,virtual,contabilidad,experiencia,consulta,equipo
818,Coordinador(a) Crm,11,market,experiencia,in_house,equipo,mercado,publicidad,analizar
821,Asesor de Servicio al Cliente Multicanal - Bucaramanga (OLMED012),17,consumer,auxiliar,in_house,caja,trabajo en equipo,postgressql,transporte
822,Ejecutivo Comercial,7,communications,trabajo,in_house,individual,empresa,equipo,ventas
